thumbnail,category,title,content
"https://img.ligaolahraga.com/images/news/2025/10/22/luka-doncic-akui-kondisi-hamstringnya-baik-baik-saja.jpg","NBA","Luka Doncic Akui Kondisi Hamstringnya Baik-Baik Saja","Luka Doncic menyatakan kondisi hamstringnya dalam keadaan baik dan siap untuk pertandingan berikutnya. Pemain bintang Dallas Mavericks ini tidak mengalami masalah cedera yang serius. Doncic siap memimpin timnya melawan San Antonio Spurs dalam laga pembuka musim."
"https://img.ligaolahraga.com/images/news/2025/10/22/kalah-dari-warriors-austin-reaves-bertanggung-jawab.jpg","NBA","Kalah Dari Warriors, Austin Reaves Bertanggung Jawab","Austin Reaves mengambil tanggung jawab atas kekalahan Lakers dari Warriors dalam laga pembuka musim. Guard Lakers ini mengaku performanya belum maksimal dan berjanji akan bermain lebih baik di pertandingan berikutnya. Reaves mencetak 18 poin tetapi gagal membawa timnya meraih kemenangan."
"https://img.ligaolahraga.com/images/news/2025/10/22/valentino-wuwungan-akhirnya-dilepas-borneo-hornbills.jpg","IBL","Valentino Wuwungan Akhirnya Dilepas Borneo Hornbills","Borneo Hornbills secara resmi melepas Valentino Wuwungan setelah musim yang menantang. Keputusan ini diambil sebagai bagian dari restrukturisasi tim untuk musim depan. Wuwungan telah berkontribusi selama tiga musim terakhir untuk Hornbills."
"https://img.ligaolahraga.com/images/news/2025/10/22/rajawali-medan-mulai-kurangi-stok-guard-usai-datangkan-jason-prawira.jpg","IBL","Rajawali Medan Mulai Kurangi Stok Guard Usai Datangkan Jason Prawira","Rajawali Medan melakukan perampingan di posisi guard setelah mendatangkan Jason Prawira. Manajemen tim berusaha menciptakan keseimbangan dalam roster untuk musim IBL 2025-2026. Prawira diharapkan bisa menjadi pemain kunci di backcourt tim."
"https://www.mainbasket.com/thumbs/medium/uploads/post/2025/10/23/VJ.jpg","NBA","VJ Edgecombe Pecahkan Rekor Debut LeBron James","VJ Edgecombe mencetak sejarah di kuarter pertamanya di NBA. Membantu Philadelphia 76ers mengalahkan Boston Celtics dalam debutnya. Pemain berusia 20 tahun itu mencetak hingga 34 poin untuk membantu tim tamu mengalahkan Boston Celtics dengan skor 117-116. Tyrese Maxey mencetak 40 poin tertinggi dalam pertandingan pembuka NBA musim 2025-2026 untuk masing-masing tim."
"https://ichef.bbci.co.uk/ace/standard/911/cpsprodpb/4a67/live/f639fa80-18fe-11f0-8b11-7756b7b808cc.jpg","NBA","Debut yang Solid untuk Trio Baru Orlando Magic","Orlando Magic memulai perjalanan mereka di musim 2025-2026. Melakoni duel sesama Florida menghadapi Miami Heat, Magic menang 125-121, Rabu (22/10), waktu setempat. Kemenangan ini menunjukkan chemistry yang baik antara trio pemain baru mereka yang langsung berkontribusi signifikan."
"https://image.sggp.org.vn/w1000/Uploaded/2025/ldfnyrykxq/2025_05_19/shai-gilgeous-alexander-353-3429.jpeg.webp","NBA","Knicks Raih Kemenangan Perdana di Bawah Kendali Mike Brown","Ketika Jalen Brunson redup, bintang Knicks lainnya tampil menonjol dalam kemenangan New York atas Cleveland Cavaliers. OG Anunoby memperoleh 24 poin dan 14 rebound, Jalen Brunson mencetak 23 poin untuk mengalahkan Cavaliers, 119-111, pada Rabu malam (22/10) waktu AS, dalam pertandingan pertama mereka di bawah pelatih Mike Brown."
"https://iblindonesia.com/image/1040x650/20220922123149-4ed0fb52-7584-4887-a7fc-3787fc279b15.jpeg","DBL","Kegiatan Unggulan Al Maruf, Berkah Syiar DBL","Ada tiga sekolah yang sukses mengirimkan tim putra dan putri ke babak Championship Series DBL Jakarta 2025. Salah satunya adalah SMA Al Maruf Jakarta. Sementara dua sekolah lainnya adalah SMA 1 PSKD Jakarta dan SMA Jubilee Jakarta. Keseriusan membenahi dan membangun kekuatan basket untuk DBL memberi manfaat berlapis bagi SMA Al Maruf Jakarta."
"https://www.reuters.com/resizer/v2/SKP5KASPTVPJPIRUUCLN4WVH5M.jpg?auth=9f9f5db151b4138335ce9bfadc781de8618734f2de829f23edc6a631d8c84410&width=6940&quality=80","NBA","NBA 2025-2026 Dibanjiri Pemain Internasional","NBA musim 2025-2026 menorehkan rekor baru untuk jumlah pemain internasional. Pada musim 2024-2025, ada 125 pemain internasional dari 40 negara yang tampil. Namun di musim ini, jumlahnya bertambah menjadi 135 pemain dari 43 negara. Ini menunjukkan globalisasi basket yang semakin masif."
"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRn1z0BLXNht1hiIgU8a67-2d8k-RmOnLo_vScfGq18pOBHTh8jIwWc8MkvFK8VYiwAupI&usqp=CAU","NBA","Michael Jordan Mengaku Sangat Gugup Saat Diminta Bermain Basket Lagi","Tayangan 'MJ: Insights to Excellence' menunjukkan gambaran kehidupan Michael Jordan setelah pensiun sebagai pemain. Jordan memilih untuk menyingkir dari dunia basket. Tapi ia masih memiliki jiwa kompetitif dan kadang rindu untuk kembali bermain lagi. Dalam wawancara eksklusif, Jordan mengaku masih merasa gugup ketika dimainkan bermain lagi."
"https://www.hollywoodreporter.com/wp-content/uploads/2024/11/GettyImages-2185174400.jpg?w=2000&h=1126&crop=1","NBA","Steve Kerr Menyebut Jimmy Butler Jadi Pembeda Warriors","Jimmy Butler memimpin Golden State Warriors dalam kemenangan atas Los Angeles Lakers 119-109. Warriors mempermalukan Lakers di Crypto.com Arena dalam laga pembuka NBA 2025-2026. Penampilan Butler menuai pujian dari koleganya. Pelatih Steve Kerr menyebut Butler sebagai faktor pembeda dalam tim."
"https://img.ligaolahraga.com/images/news/2025/10/23/preview-nba-sacramento-kings-vs-phoenix-suns-23-okt-2025.jpg","NBA","Preview NBA: Sacramento Kings Vs Phoenix Suns (23 Okt 2025)","Sacramento Kings akan menghadapi Phoenix Suns dalam laga pembuka musim NBA 2025-2026. Kedua tim memiliki ambisi besar untuk memulai musim dengan kemenangan. Kings mengandalkan permainan cepat mereka, sementara Suns mengandalkan chemistry baru di bawah pelatih Jordan Ott."
"https://img.ligaolahraga.com/images/news/2025/10/23/preview-nba-san-antonio-spurs-vs-dallas-mavericks-23-okt-2025.jpg","NBA","Preview NBA: San Antonio Spurs Vs Dallas Mavericks (23 Okt 2025)","Masa depan NBA akan terungkap saat San Antonio Spurs yang bertandang menghadapi Dallas Mavericks pada Rabu (22/10) malam atau Kamis pagi WIB dalam laga pembuka musim bagi kedua tim. Pertandingan ini menandai debut Cooper Flagg, pilihan pertama secara keseluruhan, yang akan menjadi pemain termuda di liga pada usia 18 tahun, 10 bulan, dan satu hari saat ia turun ke lapangan untuk Mavericks."
"https://img.ligaolahraga.com/images/news/2025/10/23/preview-nba-los-angeles-clippers-vs-utah-jazz-23-okt-2025.jpg","NBA","Preview NBA: Los Angeles Clippers Vs Utah Jazz (23 Okt 2025)","Utah Jazz dan Los Angeles Clippers akan bertanding dalam pertandingan pembuka musim mereka di Salt Lake City pada Rabu (22/10) malam atau Kamis pagi WIB dengan tujuan dan arah yang berbeda untuk musim ini. Meskipun masa depan terlihat cerah bagi Utah, masa depan sudah ada di sini bagi Los Angeles."
"https://img.ligaolahraga.com/images/news/2025/10/22/luka-doncic-akui-kondisi-hamstringnya-baik-baik-saja.jpg","NBA","Luka Doncic Akui Kondisi Hamstringnya Baik-Baik Saja","Luka Doncic menyatakan kondisi hamstringnya dalam keadaan baik dan siap untuk pertandingan berikutnya. Pemain bintang Dallas Mavericks ini tidak mengalami masalah cedera yang serius. Doncic siap memimpin timnya melawan San Antonio Spurs dalam laga pembuka musim."
"https://img.ligaolahraga.com/images/news/2025/10/22/kalah-dari-warriors-austin-reaves-bertanggung-jawab.jpg","NBA","Kalah Dari Warriors, Austin Reaves Bertanggung Jawab","Austin Reaves mengambil tanggung jawab atas kekalahan Lakers dari Warriors dalam laga pembuka musim. Guard Lakers ini mengaku performanya belum maksimal dan berjanji akan bermain lebih baik di pertandingan berikutnya. Reaves mencetak 18 poin tetapi gagal membawa timnya meraih kemenangan."
"https://img.ligaolahraga.com/images/news/2025/10/22/valentino-wuwungan-akhirnya-dilepas-borneo-hornbills.jpg","IBL","Valentino Wuwungan Akhirnya Dilepas Borneo Hornbills","Borneo Hornbills secara resmi melepas Valentino Wuwungan setelah musim yang menantang. Keputusan ini diambil sebagai bagian dari restrukturisasi tim untuk musim depan. Wuwungan telah berkontribusi selama tiga musim terakhir untuk Hornbills."
"https://img.ligaolahraga.com/images/news/2025/10/22/rajawali-medan-mulai-kurangi-stok-guard-usai-datangkan-jason-prawira.jpg","IBL","Rajawali Medan Mulai Kurangi Stok Guard Usai Datangkan Jason Prawira","Rajawali Medan melakukan perampingan di posisi guard setelah mendatangkan Jason Prawira. Manajemen tim berusaha menciptakan keseimbangan dalam roster untuk musim IBL 2025-2026. Prawira diharapkan bisa menjadi pemain kunci di backcourt tim."
