name,logo_url,region_code,found_date,description
Orlando Magic,https://upload.wikimedia.org/wikipedia/en/thumb/1/10/Orlando_Magic_logo.svg/250px-Orlando_Magic_logo.svg.png,us,1989-01-01,"""Based in Orlando, Florida, the Magic joined the NBA in 1989 as an expansion franchise. The team has reached the NBA Finals twice, in 1995 with Shaquille O'Neal and Penny Hardaway, and in 2009 with Dwight Howard. The franchise has won seven division titles."""
Philadelphia 76ers,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Philadelphia_76ers_logo.svg/200px-Philadelphia_76ers_logo.svg.png,us,1946-01-01,"""One of the oldest franchises in the NBA, the team was founded in 1946 as the Syracuse Nationals in the NBL. They relocated to Philadelphia in 1963, becoming the 76ers. The franchise has won three NBA championships, one as the Nationals in 1955, and two as the 76ers in 1967 and 1983."""
Phoenix Suns,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Phoenix_Suns_logo.svg/250px-Phoenix_Suns_logo.svg.png,us,1968-01-01,"""Based in Phoenix, Arizona, the Suns joined the NBA in 1968 as an expansion team. They have the highest all-time winning percentage of any team to have never won an NBA championship. The Suns have made three NBA Finals appearances (1976, 1993, 2021) and have won eight division titles."""
Portland Trail Blazers,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Portland_Trail_Blazers_logo.svg/250px-Portland_Trail_Blazers_logo.svg.png,us,1970-01-01,"""An American professional basketball team based in Portland, Oregon, founded in 1970 as an expansion team. The Trail Blazers won the NBA championship in 1977, led by Bill Walton. The team has made two other NBA Finals appearances in 1990 and 1992."""
Sacramento Kings,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/SacramentoKings.svg/180px-SacramentoKings.svg.png,us,1923-01-01,"""The oldest franchise in the NBA, the team's history began in 1923 as the semi-professional Rochester Seagrams. The franchise joined the NBL in 1945 as the Rochester Royals, winning an NBL title in 1946 and an NBA title in 1951. After stints in Cincinnati and Kansas City, the team moved to Sacramento in 1985."""
San Antonio Spurs,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/San_Antonio_Spurs.svg/250px-San_Antonio_Spurs.svg.png,us,1967-01-01,"""Based in San Antonio, Texas, the franchise was founded in 1967 as the Dallas Chaparrals of the ABA. The team moved to San Antonio in 1973 and was renamed the Spurs before joining the NBA in the 1976 merger. The Spurs have won five NBA championships (1999, 2003, 2005, 2007, 2014)."""
Toronto Raptors,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Toronto_Raptors_logo.svg/250px-Toronto_Raptors_logo.svg.png,us,1993-11-04,"""A Canadian professional basketball team based in Toronto, founded in 1995 as part of the NBA's expansion into Canada. Since the 2001–02 season, the Raptors have been the only Canadian team in the league. They won their first NBA championship in 2019."""
Utah Jazz,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Utah_Jazz_logo_2025.svg/250px-Utah_Jazz_logo_2025.svg.png,us,1974-06-07,"""Based in Salt Lake City, the franchise began play in 1974 as the New Orleans Jazz, an expansion team. The team relocated to Utah in 1979. The Jazz are known for the Hall of Fame duo of John Stockton and Karl Malone, who led the team to two NBA Finals appearances in 1997 and 1998."""
Washington Wizards,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Washington_Wizards_logo.svg/250px-Washington_Wizards_logo.svg.png,us,1961-01-01,"""Based in Washington, D.C., the franchise was established in 1961 as the Chicago Packers, the NBA's first expansion team. After one season, they became the Chicago Zephyrs, then moved to become the Baltimore Bullets, Capital Bullets, and Washington Bullets before rebranding as the Wizards in 1997. The franchise won the NBA championship in 1978."""
Anadolu Efes,https://upload.wikimedia.org/wikipedia/en/thumb/9/91/Anadolu_Efes_SK_logo.svg/250px-Anadolu_Efes_SK_logo.svg.png,eu,1976-01-01,"""A Turkish professional basketball team based in Istanbul. Founded in 1976, it is the most successful club in the history of the Turkish Super League (BSL) with 16 championships. The club has also achieved significant European success, winning back-to-back EuroLeague titles in 2021 and 2022."""
Baskonia,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/Saski_Baskonia.png/250px-Saski_Baskonia.png,eu,1959-12-26,"""A professional basketball team based in Vitoria-Gasteiz, Spain. Founded in 1959, the club competes in the Liga ACB and the EuroLeague. Baskonia has won four Spanish championships and is known for its strong record of developing elite international and NBA-level talent."""
FC Barcelona Bàsquet,https://upload.wikimedia.org/wikipedia/en/thumb/4/47/FC_Barcelona_%28crest%29.svg/205px-FC_Barcelona_%28crest%29.svg.png,eu,1926-08-24,"""The professional basketball team of the FC Barcelona multi-sports club, based in Barcelona, Spain. Founded in 1926, it is the oldest club in the Liga ACB. Barça is one of the most successful teams in Europe, having won two EuroLeague titles and completing a Triple Crown in 2003."""
Fenerbahçe Basketball,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Fenerbah%C3%A7e_Men%27s_Basketball_logo.svg/205px-Fenerbah%C3%A7e_Men%27s_Basketball_logo.svg.png,eu,1913-01-01,"""The men's basketball department of Fenerbahçe S.K., a major Turkish multi-sport club based in Istanbul. The basketball section was founded in 1913. The team became the first Turkish club to win the EuroLeague in 2017 and is a dominant force in the Turkish Basketball Super League."""
Maccabi Tel Aviv B.C.,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Maccabi_Tel_Aviv_BC_logo.svg/190px-Maccabi_Tel_Aviv_BC_logo.svg.png,eu,1932-01-01,"""A professional basketball club based in Tel Aviv, Israel. Founded in 1932, it is the most successful team in Israeli basketball history, with 57 Israeli championships. Maccabi is also a European powerhouse, having won 6 EuroLeague championships."""
Olimpia Milano,https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/Pallacanestro_Olimpia_Milano_logo.svg/200px-Pallacanestro_Olimpia_Milano_logo.svg.png,eu,1930-01-01,"""An Italian professional basketball team based in Milan. Founded in 1930, it is the most successful club in Italy, with 31 Italian League championships. Known for its red and white colors and the nickname """"Scarpette Rosse"""" (Little Red Shoes), the club has also won 3 EuroLeague titles."""
Olympiacos B.C.,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Olympiacos_BC_logo.svg/185px-Olympiacos_BC_logo.svg.png,eu,1931-01-01,"""A Greek professional basketball club based in Piraeus, part of the Olympiacos CFP multi-sport club. The basketball department was established in 1931. Olympiacos is a major European power, having won 3 EuroLeague titles and being the only Greek club to win back-to-back European championships."""
Panathinaikos B.C.,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Panathinaikos_BC_logo.svg/250px-Panathinaikos_BC_logo.svg.png,eu,1919-01-01,"""The professional basketball team of the Panathinaikos A.O. multi-sport club in Athens, Greece. The basketball section was founded in 1919, making it one of the oldest in the country. Panathinaikos is the most successful club in Greek basketball history and one of the most successful in Europe, with 7 EuroLeague championships."""
Real Madrid Baloncesto,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Real_Madrid_Baloncesto.png/250px-Real_Madrid_Baloncesto.png,eu,1931-03-08,"""The professional basketball section of the Real Madrid CF multi-sport club, based in Madrid, Spain. Founded in 1931, it is arguably the most successful basketball club in European history, having won a record 11 EuroLeague championships and a record 38 Spanish League titles."""
ASVEL Basket,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/LDLC_ASVEL_Basket.svg/105px-LDLC_ASVEL_Basket.svg.png,eu,1948-01-01,"""A French professional basketball team based in Villeurbanne, a suburb of Lyon. Founded in 1948, the club is the most successful in French basketball history, with 21 LNB Élite championships. The club's president is former NBA star Tony Parker."""
FC Bayern Munich (basketball),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Logo_FC_Bayern_M%C3%BCnchen_Basketball_ab_2022.png/250px-Logo_FC_Bayern_M%C3%BCnchen_Basketball_ab_2022.png,eu,1946-01-01,"""The basketball section of the FC Bayern Munich sports club, based in Munich, Germany. Founded in 1946, the team competes in the Basketball Bundesliga (BBL) and the EuroLeague. After a period of obscurity, the club experienced a resurgence in the 2010s and has since become a German powerhouse, winning six national championships."""
Žalgiris Kaunas,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/BC_%C5%BDalgiris_logo.svg/250px-BC_%C5%BDalgiris_logo.svg.png,eu,1944-01-01,"""A professional basketball club based in Kaunas, Lithuania. Founded in 1944, Žalgiris is the most decorated basketball club in the country, with 25 Lithuanian championships. The club won the EuroLeague championship in 1999 and is a symbol of Lithuanian national identity."""
CSKA Moscow (basketball),https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/PBC_CSKA_Moscow_logo.svg/150px-PBC_CSKA_Moscow_logo.svg.png,eu,1923-04-23,"""A Russian professional basketball team based in Moscow, founded in 1923. It is the most successful basketball team in Russian and Soviet history, with 8 EuroLeague championships and numerous domestic titles. The club is currently suspended from EuroLeague competition."""
Valencia Basket,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Valencia_Basket_Club.svg/250px-Valencia_Basket_Club.svg.png,eu,1986-07-15,"""A professional basketball team based in Valencia, Spain. Founded in 1986, the club competes in the Liga ACB and EuroLeague. Valencia has won the EuroCup a record four times and won its first Spanish League championship in 2017."""
Virtus Bologna,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Virtus_Bologna_Logo.png/250px-Virtus_Bologna_Logo.png,eu,1927-01-01,"""An Italian professional basketball club from Bologna, founded in 1927. Known as the """"Black V's,"""" Virtus is one of Italy's most titled clubs, with seventeen national championships, two EuroLeague titles, and a EuroCup title. They have a historic rivalry with the city's other team, Fortitudo Bologna."""
Crvena zvezda (basketball),https://upload.wikimedia.org/wikipedia/en/thumb/0/01/KK_Crvena_zvezda_logo.svg/175px-KK_Crvena_zvezda_logo.svg.png,eu,1945-03-04,"""A men's professional basketball club based in Belgrade, Serbia, part of the Red Star multi-sports club. Founded in 1945, it is one of the most successful clubs in Serbia, with 24 national league championships and a FIBA Saporta Cup title in 1974. The club has a fierce rivalry with Partizan."""
Partizan Belgrade basketball,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/KK_Partizan_logo.svg/250px-KK_Partizan_logo.svg.png,eu,1945-10-04,"""A professional basketball club based in Belgrade, Serbia, part of the Partizan multi-sports club. Founded in 1945, the team has won 22 national championships and 8 Adriatic League titles. Their most notable achievement is winning the EuroLeague championship in 1992."""
AS Monaco Basket,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/AS_Monaco_Basket.svg/175px-AS_Monaco_Basket.svg.png,eu,1928-01-01,"""A French-registered, Monaco-based professional basketball club founded in 1928. A part of the A.S. Monaco multi-sports club, the team plays in the French LNB Élite and the EuroLeague. They won their first EuroCup title in 2021 and have become a major force in European basketball."""
Paris Basketball,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Logo_Paris_Basketball.svg/250px-Logo_Paris_Basketball.svg.png,eu,2018-07-12,"""A French professional basketball club based in Paris, founded in 2018. The club rapidly ascended to the top tier LNB Élite and made its EuroLeague debut in the 2024-25 season after winning the 2023–24 EuroCup title."""
Bamberg Baskets,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Bamberg-baskets-logo.svg/250px-Bamberg-baskets-logo.svg.png,eu,1955-01-01,"""A German professional basketball team from Bamberg, Bavaria. Founded in 1955, the club has won the German Championship nine times and the German Cup six times. Known for its passionate fan base, the team competes in the Basketball Bundesliga (BBL)."""
Ratiopharm Ulm,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/Ratiopharm_Ulm_logo.svg/150px-Ratiopharm_Ulm_logo.svg.png,eu,2001-01-01,"""A German professional basketball club based in Ulm, Germany. Founded in 2001, the team plays in the Basketball Bundesliga (BBL). They won their first-ever national championship in 2023 as the seventh seed, the lowest seed ever to win the title."""
Riesen Ludwigsburg,https://upload.wikimedia.org/wikipedia/en/thumb/f/f6/MHP_Riesen_Ludwigsburg_logo.svg/250px-MHP_Riesen_Ludwigsburg_logo.svg.png,eu,1960-01-01,"""A professional basketball club based in Ludwigsburg, Germany. Founded in 1960, the club has been a regular in the top-tier Basketball Bundesliga (BBL) since the 1986–87 season. They reached the German finals for the first time in 2020."""
Telekom Baskets Bonn,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Telekom_Baskets_Bonn_Logo.png/250px-Telekom_Baskets_Bonn_Logo.png,eu,1992-01-01,"""A German professional basketball club based in Bonn, Germany. Founded in 1992, the team plays in the Basketball Bundesliga (BBL). In 2023, the Baskets won the Basketball Champions League, the club's first-ever major title."""
Unicaja,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/CB_Unicaja_Logo.png/250px-CB_Unicaja_Logo.png,eu,1977-01-01,"""A professional basketball club based in Málaga, Spain. Originally founded in 1977 as CB Caja de Ronda, the club merged with CB Maristas de Málaga in 1992. Unicaja has won one Spanish League title (2006), one EuroCup (2017), and two Basketball Champions League titles (2024, 2025)."""
Beijing Ducks,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Beijing_Ducks_logo.png/250px-Beijing_Ducks_logo.png,as,1956-01-01,"""A professional basketball team based in Beijing, China, playing in the Chinese Basketball Association (CBA). The club was formed in 1956 and became a professional team in 1995. The Ducks won three CBA championships in four years between 2012 and 2015, led by former NBA All-Star Stephon Marbury."""
Liaoning Flying Leopards,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Liaoning_Flying_Leopards.png/250px-Liaoning_Flying_Leopards.png,as,1953-01-01,"""A professional basketball team based in Shenyang, Liaoning, China. The club's history dates to 1953, and it became a founding member of the CBA in 1995. The Flying Leopards are a dominant force in the CBA, having won four championships, including three consecutive titles from 2022 to 2024."""
Guangdong Southern Tigers,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Guangdong_Southern_Tigers.png/250px-Guangdong_Southern_Tigers.png,as,1993-01-01,"""A Chinese professional basketball team based in Dongguan, Guangdong. Established in 1993, it is the most successful team in CBA history, having won a record 11 championships. The Tigers are the only team to have qualified for the CBA playoffs every season since the league's inception."""
Xinjiang Flying Tigers,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Xinjiang_Flying_Tigers.png/250px-Xinjiang_Flying_Tigers.png,as,1999-01-01,"""A professional basketball team based in Ürümqi, Xinjiang, China. The club joined the CBA in 1999 and has been a perennial contender, making six finals appearances. The Flying Tigers won their first CBA championship in the 2016–17 season."""
Shanghai Sharks,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Shanghai_Sharks_logo.png/170px-Shanghai_Sharks_logo.png,as,1996-01-01,"""A professional basketball team based in Shanghai, China, founded in 1996. The Sharks are best known internationally as the team that developed Hall of Famer Yao Ming. With Yao, the team made three consecutive CBA Finals, winning the championship in 2002."""
Zhejiang Lions,https://upload.wikimedia.org/wikipedia/en/thumb/1/10/Zhejiang_Lions.png/250px-Zhejiang_Lions.png,as,2005-01-01,"""A Chinese professional basketball team based in Hangzhou, Zhejiang. Founded in 2005, the team is also known as the Zhejiang Guangsha Lions. They have been runners-up in the CBA Finals twice, in 2018 and 2022, and won their first championship in 2025."""
Shenzhen Leopards,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Shenzhen_Leopards.svg/250px-Shenzhen_Leopards.svg.png,as,2003-01-01,"""A Chinese professional basketball team based in Shenzhen, Guangdong. Founded in 2003 as the Dongguan New Century Leopards, the team relocated to Shenzhen in 2015. The team has been a regular participant in the CBA playoffs."""
Shandong Hi-Speed Kirin,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Shandong_Golden_Stars.png/250px-Shandong_Golden_Stars.png,as,1995-01-01,"""A professional basketball team based in Jinan, Shandong, China. Founded in 1995, the team has gone through several names, including the Flaming Bulls and Heroes. Their most successful season was in 2012–13, when they reached the CBA Finals."""
Jilin Northeast Tigers,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Jilin_Northeast_Tigers.PNG/250px-Jilin_Northeast_Tigers.PNG,as,1956-01-01,"""A professional basketball team based in Changchun, Jilin, China. The team was founded in 1956 and became a professional club in 1998. The team's mascot is a Siberian tiger, reflecting the region's geography."""
Shanxi Loongs,http://commons.wikimedia.org/wiki/Special:FilePath/Shanxi_Brave_Dragons_logo.jpg,as,2001-01-01,"""A Chinese professional basketball team based in Taiyuan, Shanxi. Founded in 2001, the team was known as the Brave Dragons until 2018. The team's name, Loongs, is the Chinese word for dragon, which is also the team's mascot."""
Barangay Ginebra San Miguel,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Barangay_Ginebra_San_Miguel_logo.png/250px-Barangay_Ginebra_San_Miguel_logo.png,as,1979-01-01,"""A professional basketball team in the Philippine Basketball Association (PBA), founded in 1979. Owned by Ginebra San Miguel, Inc., it is widely regarded as the most popular team in the league, known for its """"Never Say Die"""" spirit. The team has won 15 PBA championships."""
San Miguel Beermen,https://upload.wikimedia.org/wikipedia/en/thumb/f/fe/San_Miguel_Beermen_logo.svg/250px-San_Miguel_Beermen_logo.svg.png,as,1975-01-01,"""The most successful team in the history of the Philippine Basketball Association (PBA), with a record 30 championships. The Beermen are the only remaining original franchise from the league's inception in 1975. They completed a rare Grand Slam in 1989."""
Magnolia Hotshots,https://upload.wikimedia.org/wikipedia/en/e/e4/Magnolia_Chicken_Timplados_Hotshots_logo.png,as,1988-01-01,"""A professional basketball team in the PBA, founded in 1988. Owned by San Miguel Food and Beverage, the franchise is most famous for its original name, Purefoods. The team has won 14 PBA titles and is the fourth team in league history to win a Grand Slam (2014)."""
TNT Tropang Giga,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/TNT_Tropang_5G_logo.png/250px-TNT_Tropang_5G_logo.png,as,1990-01-01,"""A professional basketball team in the PBA, founded in 1990. Owned by Smart Communications, the team has played under various names, including Pepsi and Talk 'N Text. The franchise has won 11 official PBA titles and is considered one of the league's modern powerhouses."""
Meralco Bolts,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Meralco_Bolts_logo_NEW.png/250px-Meralco_Bolts_logo_NEW.png,as,2010-01-01,"""A professional basketball team in the PBA, founded in 2010 after the Manila Electric Company (MERALCO) acquired the franchise of the Sta. Lucia Realtors. The team won its first PBA championship in the 2024 Philippine Cup."""
Rain or Shine Elasto Painters,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Rain_or_Shine_Elasto_Painters_team_logo.png/250px-Rain_or_Shine_Elasto_Painters_team_logo.png,as,2006-01-01,"""A professional basketball team in the PBA, owned by Asian Coatings Philippines, Inc. The team joined the league in 2006 after a successful stint in the amateur Philippine Basketball League. The Elasto Painters have won two PBA championships (2012, 2016)."""
NLEX Road Warriors,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/NLEX_Road_Warriors_logo_2018.png/250px-NLEX_Road_Warriors_logo_2018.png,as,2014-01-01,"""A professional basketball team in the PBA, owned by NLEX Corporation. The franchise transferred to the PBA in 2014 after dominating the PBA D-League, where it won six championships. The team is one of three PBA teams controlled by businessman Manuel V. Pangilinan."""
Phoenix Super LPG Fuel Masters,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Phoenix_Super_LPG_Fuel_Masters_logo.png/250px-Phoenix_Super_LPG_Fuel_Masters_logo.png,as,2016-01-01,"""A professional basketball team in the PBA owned by Phoenix Petroleum Philippines, Inc. The franchise debuted in 2016 after acquiring the Barako Bull Energy franchise. The team is known for its fast-paced style of play."""
Blackwater Bossing,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Blackwater_Bossing_logo.svg/250px-Blackwater_Bossing_logo.svg.png,as,2014-01-01,"""A professional basketball team in the PBA, owned by Ever Bilena Cosmetics, Inc. The franchise joined the PBA in 2014 as an expansion team after a successful run in the PBA D-League. The team is named after the company's brand of men's fragrances."""
